start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:14:15|00:00:15:15|Ranganayaki|నీకేం సమస్యే?|[రంగనాయకి] Neekem samasye?
00:00:16:20|00:00:18:23|Ranganayaki|అన్నిటికీ కళ్ళల్లో నీళ్లు పెట్టుకుంటావ్.|[రంగనాయకి] Annitiki kallalo neellu pettukuntav.
00:00:19:16|00:00:22:24|Ranganayaki|నువ్విలా బయటికి వెళ్ళావంటే ఉల్లిపాయలు తరిగివచ్చావా అంటారు.|[రంగనాయకి] Nuvvila bayatiki vellavante ullipayalu tarigivachava antaru.
00:00:23:13|00:00:24:06|Shanti|అది కాదే.|[శాంతి] Adi kaade.
00:00:25:21|00:00:36:18|Shanti|ఈ కాలంలో ఇంట్లో పెద్దవాళ్ళకి వయసైన వెంటనే అన్ని బంధాలు, సంబంధాలని కడిగేసి అనాధాశ్రమాలలోనో, వృద్ధాశ్రమాలలోనో చేరుస్తారు.|[శాంతి] Ee kalamlo intlo peddavallaki vayasaina ventane anni bandhalu, sambandhalani kadigesi anadhasramalalono, vrudhasramalalono cherustaru.
00:00:39:15|00:00:46:11|Shanti|కానీ నా విషయంలో మీరందరూ నాకింత దగ్గరగా ఉన్నారు. అది చాలు కదా నాకు.|[శాంతి] Kani na vishayamlo meerandaru nakintha daggaraga unnaru. Adi chalu kada naku.
00:00:48:02|00:00:50:04|Shanti|ఇలాంటి సమయంలో కన్నీళ్లు రావా?|[శాంతి] Ilanti samayamlo kanneellu rava?
00:00:53:14|00:01:00:18|Kavya|శాంతి, నువ్వు అన్ని జన్మలకన్నా ఈ జన్మలో కొంచెం ఎక్స్ట్రా పుణ్యం చేసుకున్నావ్. ఎందుకంటే మాలాంటి మనవరాళ్ళు దొరికారు నీకు.|[కావ్య] Shanti, nuvvu anni janmalakanna ee janmalo konchem extra punyam chesukunnav. Endukante malanti manavarallu dorikaru neeku.
00:01:04:14|00:01:09:03|Ranganayaki|ఇప్పుడు నువ్వేం చేయాలంటే, నీ ఇద్దరు మనవరాళ్ళతో కలిసి కేక్ కట్ చేయాలి.|[రంగనాయకి] Ippudu nuvvem cheyalante, nee iddaru manavarallatho kalisi cake cut cheyali.
00:01:09:04|00:01:11:09|Ranganayaki|రెండమ్మా రెండమ్మా, కేక్ కట్ చేయండి.|[రంగనాయకి] Randamma randamma, cake cut cheyandi.
00:01:18:17|00:01:20:07|All|హ్యాపీ బర్త్డే టూ యూ.|[అందరు] Happy birthday to you.
00:01:20:07|00:01:22:00|All|హ్యాపీ బర్త్డే టూ యూ.|[అందరు] Happy birthday to you.
00:01:22:00|00:01:23:15|All|హ్యాపీ బర్త్డే డియర్ శాంతి.|[అందరు] Happy birthday dear Shanti.
00:01:23:16|00:01:25:21|All|హ్యాపీ బర్త్డే టూ యూ.|[అందరు] Happy birthday to you.
00:01:29:19|00:01:30:08|Ranganayaki|మేఘజడ.|[రంగనాయకి] Meghajada.
00:01:31:13|00:01:32:15|Ranganayaki|నాదో రిక్వెస్ట్.|[రంగనాయకి] Naado request.
00:01:33:05|00:01:35:01|Ranganayaki|నేను ఉన్నంతవరకు నువ్వు ఉండాలి.|[రంగనాయకి] Nenu unnanthavaraku nuvvu undali.
00:01:36:06|00:01:38:23|Ranganayaki|నేను మినిమం అయితే వంద సంవత్సరాలు ఉండాలి.|[రంగనాయకి] Nenu minimum aithe vanda samvatsaralu undali.
00:01:39:13|00:01:40:02|Shanti|ఓ!|[శాంతి] Oh!
00:01:40:19|00:01:44:23|Shanti|ఈ పాలకోవ ఏంటే నువ్వు, దేవుడ్ని ఎవరైనా ఇలా అడుగుతారా పాలకోవ?|[శాంతి] Ee palakova yente nuvvu, devudni evaraina ila adugutara palakova?
